Dimension;ADM-Phases;Maturity Level;Description
Architecture Capability;Preliminary;0 – Non-existent;The organization is not executing any EA function or task at all.
Architecture Capability;A – Architecture Vision;0 – Non-existent;The organization is not executing any EA function or task at all.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;0 – Non-existent;Is not executing any EA function or task at all.
Transition Planning;E – Opportunities & Solutions;0 – Non-existent;The organization is not executing any EA function or task at all.
Transition Planning;F – Migration Planning;0 – Non-existent;The organization is not executing any EA function or task at all.
Architecture Governance;G – Implementation Governance;0 – Non-existent;The organization is not executing any EA function or task at all.
Architecture Governance;H – Architecture Change Management;0 – Non-existent;The organization is not executing any EA function or task at all.
Architecture Requirements Management;;0 – Non-existent;The organization is not executing any EA function or task at all.
Architecture Capability;Preliminary;1 – Initial;Preparation and initiation activities take place.
Architecture Capability;A – Architecture Vision;1 – Initial;An initial scope for the architecture is defined.
Architecture Capability;A – Architecture Vision;1 – Initial;Stakeholders are identified.
Architecture Capability;A – Architecture Vision;1 – Initial;An initial architecture vision exists.
Architecture Capability;A – Architecture Vision;1 – Initial;Approvals are obtained.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;1 – Initial;Initial architectural elements are developed.
Transition Planning;E – Opportunities & Solutions;1 – Initial;Delivery approaches such as projects, programs or portfolios are identified.
Transition Planning;F – Migration Planning;1 – Initial;An Implementation and Migration Plan exists.
Transition Planning;F – Migration Planning;1 – Initial;Business value and costs are considered by stakeholders.
Architecture Governance;G – Implementation Governance;1 – Initial;Oversight of the implementation of the target architecture exists.
Architecture Governance;G – Implementation Governance;1 – Initial;Deployment resources and priorities are identified.
Architecture Governance;G – Implementation Governance;1 – Initial;Compliance reviews are performed.
Architecture Governance;H – Architecture Change Management;1 – Initial;Procedures for change management are established.
Architecture Governance;H – Architecture Change Management;1 – Initial;Risk management procedures exist.
Architecture Governance;H – Architecture Change Management;1 – Initial;Monitoring tools are in place.
Architecture Requirements Management;;1 – Initial;Requirements management is sustained across some ADM phases.
Architecture Requirements Management;;1 – Initial;Architecture requirements are available at some ADM phases.
Architecture Requirements Management;;1 – Initial;Architecture requirements are identified and managed during ADM execution.
Architecture Capability;Preliminary;2 – Managed;Identifies the core, soft and extended enterprise units, as well as, the communities and governance involved.
Architecture Capability;Preliminary;2 – Managed;Selects the appropriate architecture tools to support the architecture function (e.g. ArchiMate, Sparx Enterprise Architect, LeanIX).
Architecture Capability;A – Architecture Vision;2 – Managed;Identifies the key stakeholders and their concerns or objectives.
Architecture Capability;A – Architecture Vision;2 – Managed;Describe the key business requirements to be addressed in the architecture project.
Architecture Capability;A – Architecture Vision;2 – Managed;Identifies and evaluates the collection of capabilities within the organization.
Architecture Capability;A – Architecture Vision;2 – Managed;Evaluates and qualifies the organization readiness to undertake change.
Architecture Capability;A – Architecture Vision;2 – Managed;Identifies the risks associated with the architecture vision.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;2 – Managed;Identifies the catalogues that capture inventories of the core assets of the business (e.g. Application Portfolio, Technology Standards Catalogue).
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;2 – Managed;Identifies the required matrices that show the core relationships between related model entities (e.g. CRUD Matrix, Application/Interface Matrix).
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;2 – Managed;Identifies the required diagrams that present the data, application and technology architecture information from different viewpoints according to the requirements of stakeholders (e.g. Capability Map, Application Communication Diagram, Technology Reference Model in ArchiMate).
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;2 – Managed;Formalizes the business, data, application and technology requirements for implementing the target architecture.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;2 – Managed;Develops a Baseline Description of the current business, data, application and technology Architecture to the extent necessary to support the target business architecture.
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;2 – Managed;Identifies and resolves any wide impacts or implications in the Architecture Landscape.
Transition Planning;E – Opportunities & Solutions;2 – Managed;Identifies any business drivers that would constrain the implementation sequence.
Transition Planning;E – Opportunities & Solutions;2 – Managed;Consolidates the interoperability requirements identified in previous phases.
Transition Planning;E – Opportunities & Solutions;2 – Managed;Refines the initial dependencies, ensuring that any constraints on the Implementation and Migration Plans are identified.
Transition Planning;E – Opportunities & Solutions;2 – Managed;Reviews the findings of the Business Transformation Readiness Assessment previously conducted in Phase A and determine their impact on the Architecture Roadmap and the Implementation and Migration Strategy (e.g. Business Readiness Heatmap, Stakeholder Survey).
Transition Planning;E – Opportunities & Solutions;2 – Managed;Creates an overall Implementation and Migration Strategy that will guide the implementation of the Target Architecture, and structure any Transition Architectures (e.g. MoSCoW Prioritization, Value vs. Risk Matrix).
Transition Planning;F – Migration Planning;2 – Managed;Establishes and assigns business values to all of the work packages.
Transition Planning;F – Migration Planning;2 – Managed;Determines the required resources and times for each project and their increments and provides the initial cost estimates.
Transition Planning;F – Migration Planning;2 – Managed;Transitions governance from the development of the architecture to the realization of the architecture.
Architecture Governance;G – Implementation Governance;2 – Managed;Identifies system development methods required for solutions development and ensures that the systems development method enables feedback to the architecture team on designs (e.g. Agile SAFe, DevOps, ITIL Change Management).
