Dimension;ADM-Phases;Maturity Level;Value_EN;Value_DE
Architecture Capability;Preliminary;1 – Initial;- Basic awareness of architecture practices - Initial attempts to align IT with business - Efforts are inconsistent;- Grundbewusstsein für Architekturpraktiken - Erste Versuche, IT mit dem Business zu alignen - Maßnahmen sind uneinheitlich
Architecture Capability;Preliminary;2 – Managed;- More structured approach introduced - Repeatable processes reduce ad hoc decisions - Early collaboration across teams;- Strukturiertes Vorgehen eingeführt - Wiederholbare Prozesse reduzieren Ad-hoc-Entscheidungen - Frühe bereichsübergreifende Zusammenarbeit
Architecture Capability;Preliminary;3 – Defined;- Standardized architecture practices - Improves decision making - Better predictability of project outcomes;- Standardisierte Architekturpraktiken - Bessere Entscheidungsfindung - Höhere Vorhersagbarkeit von Projektergebnissen
Architecture Capability;Preliminary;4 – Quantitatively Managed;- Architecture embedded into governance - Stronger business alignment - Risks reduced through consistent methods;- Architektur in Governance verankert - Stärkere Business-Ausrichtung - Risiken durch konsistente Methoden reduziert
Architecture Capability;Preliminary;5 – Optimizing;- Architecture is strategic and enterprise wide - Maximizes business value - Enables agility and scalability;- Architektur ist strategisch und unternehmensweit - Maximiert Business-Wert - Ermöglicht Agilität und Skalierung
Architecture Capability;A – Architecture Vision;1 – Initial;- Limited vision clarity - Inconsistent communication - Business benefits unclear;- Geringe Klarheit der Vision - Inkonsistente Kommunikation - Geschäftlicher Nutzen unklar
Architecture Capability;A – Architecture Vision;2 – Managed;- Defined vision communicated - Stronger stakeholder engagement - Supports early alignment;- Definierte Vision kommuniziert - Stärkeres Stakeholder-Engagement - Unterstützt frühe Ausrichtung
Architecture Capability;A – Architecture Vision;3 – Defined;- Vision consistently applied - Clear roadmap supports planning - Improves organizational confidence;- Vision wird konsistent angewendet - Klarer Fahrplan unterstützt Planung - Stärkt Vertrauen in der Organisation
Architecture Capability;A – Architecture Vision;4 – Quantitatively Managed;- Vision embedded in strategic planning - Improves cross domain alignment - Builds trust with stakeholders;- Vision in strategische Planung eingebettet - Bessere domänenübergreifende Ausrichtung - Baut Vertrauen mit Stakeholdern auf
Architecture Capability;A – Architecture Vision;5 – Optimizing;- Vision drives business strategy - Shared understanding across all units - Enables innovation;- Vision treibt Geschäftsstrategie - Gemeinsames Verständnis über alle Bereiche - Ermöglicht Innovation
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;1 – Initial;- Fragmented architecture approaches - Limited alignment between business and IT;- Fragmentierte Architekturansätze - Begrenzte Ausrichtung zwischen Business und IT
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;2 – Managed;- Processes become more repeatable - Improves consistency across projects;- Prozesse werden wiederholbar - Mehr Konsistenz über Projekte hinweg
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;3 – Defined;- Defined architecture standards - Improves efficiency and interoperability;- Definierte Architekturstandards - Höhere Effizienz und Interoperabilität
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;4 – Quantitatively Managed;- Integrated across domains - Supports long term planning - Reduces duplication of effort;- Domänenübergreifend integriert - Unterstützt langfristige Planung - Reduziert Doppelarbeit
Architecture Development;B, C, D – Business, Information Systems and Technology Architecture;5 – Optimizing;- Enterprise wide adoption - Optimized for agility and scalability - Drives continuous improvement;- Unternehmensweite Verankerung - Für Agilität und Skalierbarkeit optimiert - Treibt kontinuierliche Verbesserung
Transition Planning;E – Opportunities & Solutions;1 – Initial;- Ad hoc transition planning - Low predictability - Reactive problem solving;- Ad-hoc-Transitionsplanung - Geringe Vorhersagbarkeit - Reaktives Problemlösen
Transition Planning;E – Opportunities & Solutions;2 – Managed;- More structured planning emerges - Improves allocation of resources;- Strukturiertere Planung entsteht - Bessere Ressourcenallokation
Transition Planning;E – Opportunities & Solutions;3 – Defined;- Defined planning processes - Enables clearer roadmaps - Reduces transition risks;- Definierte Planungsprozesse - Klarere Roadmaps - Reduziert Transitionsrisiken
Transition Planning;E – Opportunities & Solutions;4 – Quantitatively Managed;- Integrated into governance - Aligns business and IT transitions - Improves project execution;- In Governance integriert - Richtet Business- und IT-Transitionen aus - Verbessert Projektausführung
Transition Planning;E – Opportunities & Solutions;5 – Optimizing;- Transition planning is proactive - Supports enterprise agility - Maximizes return on investment;- Transitionsplanung ist proaktiv - Unterstützt Unternehmensagilität - Maximiert den ROI
Transition Planning;F – Migration Planning;1 – Initial;- Migration is reactive - High risk of delays - Limited business value;- Migration ist reaktiv - Hohes Verzögerungsrisiko - Geringer Geschäftswert
Transition Planning;F – Migration Planning;2 – Managed;- Repeatable migration processes - Improves predictability;- Wiederholbare Migrationsprozesse - Höhere Vorhersagbarkeit
Transition Planning;F – Migration Planning;3 – Defined;- Migration standards defined - Reduces risks - Improves success rates;- Migrationsstandards definiert - Reduziert Risiken - Erhöht Erfolgsquoten
Transition Planning;F – Migration Planning;4 – Quantitatively Managed;- Migration planning aligned with business goals - Improves efficiency and resource use;- Migrationsplanung an Geschäftszielen ausgerichtet - Bessere Effizienz und Ressourcennutzung
Transition Planning;F – Migration Planning;5 – Optimizing;- Optimized migration approach - Enables business agility - Reduces costs;- Optimierter Migrationsansatz - Ermöglicht Business-Agilität - Senkt Kosten
Architecture Governance;G – Implementation Governance;1 – Initial;- Minimal oversight - High risk of misalignment;- Minimale Aufsicht - Hohes Risiko der Fehlanpassung
Architecture Governance;G – Implementation Governance;2 – Managed;- Governance processes emerging - Ensures more consistent execution;- Governance-Prozesse entstehen - Sorgt für konsistentere Umsetzung
Architecture Governance;G – Implementation Governance;3 – Defined;- Governance standardized - Reduces risks - Improves accountability;- Governance standardisiert - Reduziert Risiken - Verbessert Verantwortlichkeit
Architecture Governance;G – Implementation Governance;4 – Quantitatively Managed;- Governance integrated with enterprise processes - Increases transparency - Supports compliance;- Governance in Unternehmensprozesse integriert - Erhöht Transparenz - Unterstützt Compliance
Architecture Governance;G – Implementation Governance;5 – Optimizing;- Governance drives business value - Ensures continuous compliance - Enables sustainable growth;- Governance stiftet Geschäftswert - Sichert kontinuierliche Compliance - Ermöglicht nachhaltiges Wachstum
Architecture Governance;H – Architecture Change Management;1 – Initial;- Change management ad hoc - Risks of disruption - Low adaptability;- Änderungsmanagement ad hoc – Risiko von Störungen – Geringe Anpassungsfähigkeit
Architecture Governance;H – Architecture Change Management;2 – Initial;- Defined processes for change - Reduces disruption - Improves adaptability;- Definierte Prozesse für Änderungen – Reduziert Störungen – Verbessert Anpassungsfähigkeit
Architecture Governance;H – Architecture Change Management;3 – Initial;- Standardized change management - Supports agility - Improves stakeholder trust;- Standardisiertes Änderungsmanagement – Unterstützt Agilität – Steigert Vertrauen der Stakeholder
Architecture Governance;H – Architecture Change Management;4 – Initial;- Integrated into governance - Anticipates risks - Improves resilience;- In die Governance integriert – Antizipiert Risiken – Verbessert Resilienz
Architecture Requirements Management;;1 – Initial;- Requirements gathered inconsistently - Low traceability;- Anforderungen uneinheitlich erhoben – Geringe Nachverfolgbarkeit
Architecture Requirements Management;;2 – Initial;- Defined requirement gathering - Improves consistency;- Definierte Anforderungserhebung – Erhöht Konsistenz
Architecture Requirements Management;;3 – Initial;- Standardized requirement processes - Improves traceability - Reduces errors;- Standardisierte Anforderungsprozesse – Verbessern Nachverfolgbarkeit – Reduzieren Fehler
Architecture Requirements Management;;4 – Initial;- Requirements fully integrated into architecture processes - Supports alignment - Increases project success;- Anforderungen vollständig in Architekturprozesse integriert – Unterstützt Ausrichtung – Erhöht Projekterfolg
