Dimension;ADM-Phases;Maturity Level;Description
Architekturfähigkeit; Vorläufig; 0 – Nicht vorhanden; Die Organisation führt keinerlei EA Funktionen oder  Aufgaben aus.
Architekturfähigkeit; A – Architekturvision; 0 – Nicht vorhanden; Die Organisation führt keinerlei EA Funktionen oder Aufgaben aus.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 0 – Nicht vorhanden; Führt keinerlei EA Funktionen oder -Aufgaben aus.
Übergangsplanung; E – Chancen und Lösungen; 0 – Nicht vorhanden; Die Organisation führt keinerlei EA-Funktionen oder -Aufgaben aus.
Übergangsplanung; F – Migrationsplanung; 0 – Nicht vorhanden; Die Organisation führt keinerlei EA-Funktionen oder -Aufgaben aus.
Architektur-Governance; G – Implementierungs-Governance; 0 – Nicht vorhanden; Die Organisation führt keinerlei EA-Funktionen oder -Aufgaben aus.
Architektur-Governance; H – Architektur-Änderungsmanagement; 0 – Nicht vorhanden; Die Organisation führt keinerlei EA-Funktionen oder -Aufgaben aus.
Architektur-Anforderungsmanagement; 0 – Nicht vorhanden; Die Organisation führt keinerlei EA-Funktionen oder -Aufgaben aus.
Architektur-Fähigkeiten; Vorläufig; 1 – Anfänglich; Vorbereitungs- und Einleitungsaktivitäten finden statt.
Architekturfähigkeit; A – Architekturvision; 1 – Anfangsphase; Ein erster Umfang für die Architektur wird definiert.
Architekturfähigkeit; A – Architekturvision; 1 – Anfangsphase; Die Stakeholder werden identifiziert.
Architekturfähigkeit; A – Architekturvision; 1 – Anfangsphase; Eine erste Architekturvision existiert.
Architekturkompetenz; A – Architekturvision; 1 – Anfangsphase; Genehmigungen werden eingeholt.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 1 – Initial; Erste Architekturelemente sind entwickelt.
Übergangsplanung; E – Chancen und Lösungen; 1 – Initial; Lieferansätze wie Projekte, Programme oder Portfolios sind identifiziert.
Übergangsplanung; F – Migrationsplanung; 1 – Initial; Ein Implementierungs- und Migrationsplan liegt vor.
Übergangsplanung; F – Migrationsplanung; 1 – Anfangsphase; Geschäftswert und Kosten werden von den Stakeholdern berücksichtigt.
Architektur-Governance; G – Implementierungs-Governance; 1 – Anfangsphase; Es besteht eine Aufsicht über die Implementierung der Zielarchitektur.
Architektur-Governance; G – Implementierungs-Governance; 1 – Anfangsphase; Bereitstellungsressourcen und Prioritäten werden identifiziert.
Architektur-Governance;G – Implementierungs-Governance;1 – Initial;Compliance-Prüfungen werden durchgeführt.
Architektur-Governance;H – Architektur-Änderungsmanagement;1 – Initial;Verfahren für das Änderungsmanagement sind festgelegt.
Architektur-Governance;H – Architektur-Änderungsmanagement;1 – Initial;Risikomanagementverfahren sind vorhanden.
Architektur-Governance;H – Architektur-Änderungsmanagement;1 – Initial;Überwachungsinstrumente sind vorhanden.
Architektur-Anforderungsmanagement;;1 – Initial;Das Anforderungsmanagement wird über einige ADM-Phasen hinweg aufrechterhalten.
Architektur-Anforderungsmanagement;;1 – Initial;Architektur-Anforderungen sind in einigen ADM-Phasen verfügbar.
Architektur-Anforderungsmanagement;;1 – Initial;Architektur-Anforderungen werden während der ADM-Ausführung identifiziert und verwaltet.
Architekturfähigkeit; Vorläufig; 2 – Verwaltet; Identifiziert die Kern-, Soft- und erweiterten Unternehmenseinheiten sowie die beteiligten Gemeinschaften und Governance-Strukturen.
Architekturfähigkeit; vorläufig; 2 – verwaltet; wählt die geeigneten Architekturwerkzeuge zur Unterstützung der Architekturfunktion aus (z. B. ArchiMate, Sparx Enterprise Architect, LeanIX).
Architekturfähigkeit; A – Architekturvision; 2 – verwaltet; identifiziert die wichtigsten Stakeholder und ihre Anliegen oder Ziele.
Architekturkompetenz; A – Architekturvision; 2 – Verwaltet; Beschreibt die wichtigsten Geschäftsanforderungen, die im Architekturprojekt berücksichtigt werden müssen.
Architekturkompetenz; A – Architekturvision; 2 – Verwaltet; Identifiziert und bewertet die Gesamtheit der Kompetenzen innerhalb der Organisation.
Architekturkompetenz; A – Architekturvision; 2 – Verwaltet; Bewertet und qualifiziert die Bereitschaft der Organisation, Veränderungen vorzunehmen.
Architekturkompetenz; A – Architekturvision; 2 – Verwaltet; Identifiziert die mit der Architekturvision verbundenen Risiken.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 2 – Verwaltet; Identifiziert die Kataloge, die Bestandsaufnahmen der Kernressourcen des Unternehmens erfassen (z. B. Anwendungsportfolio, Katalog der Technologiestandards).
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 2 – Verwaltet; Identifiziert die erforderlichen Matrizen, die die Kernbeziehungen zwischen verwandten Modellentitäten zeigen (z. B. CRUD-Matrix, Anwendungs-/Schnittstellenmatrix).
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 2 – Verwaltet; Identifiziert die erforderlichen Diagramme, die die Daten-, Anwendungs- und Technologiearchitekturinformationen aus verschiedenen Blickwinkeln entsprechend den Anforderungen der Stakeholder darstellen (z. B. Fähigkeitskarte, Anwendungskommunikationsdiagramm, Technologie-Referenzmodell in ArchiMate).
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 2 – Verwaltet; Formalisiert die Geschäfts-, Daten-, Anwendungs- und Technologieanforderungen für die Implementierung der Zielarchitektur.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 2 – Verwaltet; Entwickelt eine Baseline-Beschreibung der aktuellen Geschäfts-, Daten-, Anwendungs- und Technologiearchitektur in dem Umfang, der zur Unterstützung der Zielgeschäftsarchitektur erforderlich ist.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 2 – Verwaltet; Identifiziert und behebt alle weitreichenden Auswirkungen oder Implikationen in der Architekturlandschaft.
Übergangsplanung; E – Chancen und Lösungen; 2 – Verwaltet; Identifiziert alle geschäftlichen Faktoren, die die Implementierungssequenz einschränken würden.
Übergangsplanung; E – Chancen und Lösungen; 2 – Verwaltet; Konsolidiert die in früheren Phasen identifizierten Interoperabilitätsanforderungen.
Übergangsplanung; E – Chancen und Lösungen; 2 – Verwaltet; Verfeinert die anfänglichen Abhängigkeiten und stellt sicher, dass alle Einschränkungen für die Implementierungs- und Migrationspläne identifiziert werden.
Übergangsplanung; E – Chancen und Lösungen; 2 – Verwaltet; Überprüft die Ergebnisse der zuvor in Phase A durchgeführten Bewertung der Bereitschaft zur Geschäftstransformation und ermittelt deren Auswirkungen auf die Architektur-Roadmap und die Implementierungs- und Migrationsstrategie (z. B. Heatmap zur Geschäftsbereitschaft, Stakeholder-Umfrage).
Übergangsplanung; E – Chancen und Lösungen; 2 – Verwaltet; Erstellt eine umfassende Implementierungs- und Migrationsstrategie, die als Leitfaden für die Implementierung der Zielarchitektur dient, und strukturiert alle Übergangsarchitekturen (z. B. MoSCoW-Priorisierung, Wert-Risiko-Matrix).
Übergangsplanung; F – Migrationsplanung; 2 – Verwaltet; Legt Geschäftswerte für alle Arbeitspakete fest und weist sie zu.
Übergangsplanung; F – Migrationsplanung; 2 – Verwaltet; Bestimmt die erforderlichen Ressourcen und Zeiten für jedes Projekt und deren Inkremente und liefert erste Kostenschätzungen.
Übergangsplanung; F – Migrationsplanung; 2 – Verwaltet; Überträgt die Governance von der Entwicklung der Architektur auf die Realisierung der Architektur.
Architektur-Governance; G – Implementierungs-Governance; 2 – Verwaltet; Identifiziert die für die Lösungsentwicklung erforderlichen Systementwicklungsmethoden und stellt sicher, dass die Systementwicklungsmethode ein Feedback an das Architekturteam zu den Entwürfen ermöglicht (z. B. Agile SAFe, DevOps, ITIL Change Management).
Architektur-Governance; G – Implementierungs-Governance; 2 – Verwaltet; Führt die Bereitstellungsprojekte durch und veröffentlicht neue Basisarchitekturen im Architektur-Repository und aktualisiert andere betroffene Repositorys, wie z. B. operative Konfigurationsmanagement-Speicher.
Architektur-Governance; H – Architektur-Änderungsmanagement; 2 – Verwaltet; Verwaltet den Governance-Prozess und das Framework für die Architektur.
Architektur-Governance;H – Architektur-Änderungsmanagement;2 – Verwaltet;Aktiviert den Architekturprozess zur Umsetzung von Änderungen.
Architektur-Anforderungsmanagement;;2 – Verwaltet;Identifiziert die geänderten Anforderungen und dokumentiert die Prioritäten.
Architektur-Anforderungsmanagement; 2 – Verwaltet; Aktualisiert das Anforderungsrepository mit Informationen zu den angeforderten Änderungen, einschließlich der Standpunkte der betroffenen Stakeholder.
Architektur-Anforderungsmanagement; 2 – Verwaltet; Identifiziert und dokumentiert Anforderungen anhand von Geschäftsszenarien oder einer analogen Technik (z. B. Use-Case-Modellierung, TOGAF-Geschäftsszenarien).
Architektur-Anforderungsmanagement; 2 – Verwaltet; Identifiziert geänderte Anforderungen.
Architektur-Anforderungsmanagement; 2 – Verwaltet; Legt fest, ob die Änderung umgesetzt oder auf einen späteren ADM-Zyklus verschoben werden soll, wenn die Entscheidung zur Umsetzung getroffen wurde, und bewertet den Zeitrahmen für die Umsetzung des Änderungsmanagements.
Architekturfähigkeit; Vorläufig; 3 – Definiert; Definiert einen Rahmen für die Architektur-Governance.
Architekturfähigkeit; Vorläufig; 3 – Definiert; Definiert und richtet ein Enterprise-Architektur-Team und eine Organisation ein.
Architekturfähigkeit; vorläufig; 3 – definiert; Identifiziert und etabliert die Architekturprinzipien, d. h. die Grundsätze, die sich auf die Architekturarbeit beziehen (z. B. Wiederverwendung vor Kauf vor Erstellung, Technologiestandardisierung, Sicherheit durch Design).
Architekturkompetenz; Vorläufig; 3 – Definiert; Legt fest, welche Anpassungen von TOGAF und anderen ausgewählten Architektur-Frameworks erforderlich sind (z. B. Anpassung der ADM-Phasen, Integration mit SAFe-Portfoliomanagement).
Architekturkompetenz; A – Architekturvision; 3 – Definiert; Führt die erforderlichen Verfahren durch, um die Anerkennung des Architekturprojekts, die Zustimmung der Unternehmensleitung und die Unterstützung und das Engagement der erforderlichen Linienführung sicherzustellen.
Architekturkompetenz; A – Architekturvision; 3 – Definiert; Identifiziert die Geschäftsziele und Geschäftstreiber sowie die Einschränkungen, die berücksichtigt werden müssen.
Architekturkompetenz; A – Architekturvision; 3 – Definiert; Definiert, was zum Umfang der Basis- und Zielarchitektur gehört.
Architekturkompetenz; A – Architekturvision; 3 – Definiert; Überprüft die Grundsätze, nach denen die Architektur entwickelt wird.
Architekturkompetenz; A – Architekturvision; 3 – Definiert; Entwickelt eine Architekturvision, die den Umfang des für das Architekturprojekt identifizierten Bereichs auf hoher Ebene abdeckt.
Architekturkompetenz; A – Architekturvision; 3 – Definiert; Definiert die Wertversprechen und KPIs für die Zielarchitektur, die im Rahmen des Projekts entwickelt werden soll.
Architekturkompetenz; A – Architekturvision; 3 – Definiert; Definiert die zu erstellenden Arbeitsergebnisse sowie die Fristen für jedes dieser Arbeitsergebnisse.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Wählt relevante Ressourcen und Gesichtspunkte der Geschäfts-, Daten-, Anwendungs- und Technologiearchitektur sowie geeignete Werkzeuge und Techniken aus.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Wählt für jeden Standpunkt die Modelle aus, die zur Unterstützung der erforderlichen spezifischen Sichtweise benötigt werden, und verwendet dabei das ausgewählte Werkzeug oder die ausgewählte Methode.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Entwickelt eine Zielbeschreibung für die zu entwickelnde Geschäfts-, Daten-, Anwendungs- und Technologiearchitektur in dem Umfang, der zur Unterstützung der Architekturvision erforderlich ist.
Architekturentwicklung; B, C, D – Geschäfts-, Informationssystem- und Technologiearchitektur; 3 – Definiert; Überprüft die Geschäfts-, Daten-, Anwendungs- und Technologiearchitekturmodelle auf interne Konsistenz und Genauigkeit, indem Lücken zwischen der Basis- und der Zielgeschäftsarchitektur identifiziert werden (z. B. Lückenanalyse).
